Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	ActionScript	LevelScript	ExpParam	ExpParam1	ExpParam2	ExpParam3	LifeParam	LifeParam1	LifeParam2	LifeParam3	LifeReplenish	ARParam	ARParam1	ARParam2	ARParam3	DefenseParam	DefenseParam1	DefenseParam2	DefenseParam3	MinDamageParam	MinDamageParam1	MinDamageParam2	MinDamageParam3	MaxDamageParam	MaxDamageParam1	MaxDamageParam2	MaxDamageParam3	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile	AIMaxTime	PhysicalDamageBase	PhysicalMagicBase	PoisonDamageBase	PoisonMagicBase	ColdDamageBase	ColdMagicBase	FireDamageBase	FireMagicBase	LightingDamageBase	LightingMagicBase	AuraSkillId	AuraSkillLevel	PasstSkillId	PasstSkillLevel	IsRevive	AIParam10
sơn  tặc 07	0	5	0	1			259				enemy150	0	0	0	0	0	24	36	16	10	18	15	53	1|0	242	1|0.2	53	1|0.2	53	1|0.2		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	1	1	1	100	1	1	1	6	6	18	18	400	50	700	3	60	30	80	70	60	0	0	0	20	0|0.5	0|0.6	0|0.5	0|0	0|0.5	75	90	75	60	75	1080	100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thúy Yên môn Xuân Hương bà bà 	3	6	0								enemy151	0	0	0	0	0	33	25					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đệ tử Thúy Yên môn	3	6	0								enemy152	0	0	0	0	0	30	33					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thúy Yên môn Cấm địa lão nhân	3	6	0								enemy153	0	0	0	0	0	40	89					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Cao nhân	3	6	0								enemy154	0	0	0	0	0	17	33					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đệ tử Cái Bang	3	6	0								enemy155	0	0	0	0	0	17	38					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Cái Bang Triệu Đà chủ 	3	6	0								enemy156	0	0	0	0	0	17	42					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Quái nhân	0	5	0	1			260				enemy157	0	0	0	0	0	19	27	24	10	18	6	53	1|0	41	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	1	1	1	100	1	1	1	6	6	18	18	400	50	700	3	60	30	80	70	60	0	0	0	20	0|0.5	0|0.6	0|0.5	0|0	0|0.5	75	75	75	75	75	1080	100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đệ Đường Môn	3	6	0								enemy158	0	0	0	0	0	24	49					ÌìÂÞµØÍønpc	20|0.2	ÌìÂÞµØÍønpc	20|0.2	ÌìÂÞµØÍønpc	20|0.2	ÌìÂÞµØÍønpc	20|0.2		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	100|0	100	0.07	2.5	10	100	0.1	2.5	10	100	1	1	1	100	1	1	1			18	18	400	100	400	1	0	100	0	0	0	100	0			100|0	100|0	100|0	100|0	100|0	100	100	100	100	100	1	100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Cảnh Tử Kỳ 	3	6	0								enemy159	0	0	0	0	0	32	32					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đường Nguyên 	3	6	0								enemy160	0	0	0	0	0	24	49					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Cậu của Đường Nguyên 	3	6	0								enemy161	0	0	0	0	0	15	43					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đệ tử Thiên Nhẫn  1	3	6	0								enemy162	0	0	0	0	0	32	30					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đệ tử Thiên Nhẫn  2	3	6	0								enemy163	0	0	0	0	0	16	16					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đệ tử Thiên Vương  1	3	6	0								enemy164	0	0	0	0	0	30	35					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đệ tử Thiên Vương  2	3	6	0								enemy165	0	0	0	0	0	60	37					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đệ tử Thiên Vương  3	3	6	0								enemy166	0	0	0	0	0	30	35					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đệ tử Ngũ Độc	3	6	0								enemy167	0	0	0	0	0	20	23					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Võ Đang_ Nhuận Nương	3	6	0								enemy168	0	0	0	0	0	22	32					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đệ tử Võ Đang	3	6	0								enemy169	0	0	0	0	0	42	42					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đệ tử Thiếu lâm	3	6	0								enemy170	0	0	0	0	0	27	32					53																																							400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Mộc nhân	0	5	0	1			261				enemy171	0	0	0	0	0	36	36	35	11	15	12	30	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	1	1	1	100	1	1	1	6	6	18	18	400	50	700	1	70	40	20	0	0	0	10	0	0	5|0.6	5|0.6	5|0.6	5|0.6	5|0.6	85	85	85	85	85	1080	100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đồng Nhân 	0	5	0	1			262				enemy172	0	0	0	0	0	28	28	35	12	19	14	238	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	1	1	1	100	1	1	1	6	6	18	18	400	50	700	3	20	30	80	50	70	0	0	0	10	10|0.6	10|0.6	10|0.6	10|0.6	10|0.6	95	95	95	95	95	1080	100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Nữ Thích Khách 	0	5	0	1			263				enemy173	0	0	0	0	0	28	30	28	11	16	13	101	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	1	1	1	100	1	1	1	6	6	18	18	400	50	700	2	90	30	60	50	50	0	0	10	0	0|0.3	0|0.3	0|0.3	0|0.3	0|0.3	75	75	75	75	75	1080	100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Ni Cô Thanh Hòa	0	5	0	1			264				enemy174	0	0	0	0	0	24	24	26	12	22	12	85	1|0	36	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	1	1	1	100	1	1	1	6	6	18	18	400	50	700	3	60	30	80	70	60	0	0	0	20	0|0.3	0|0.3	0|0.3	0|0.3	0|0.3	75	75	75	75	75	1080	100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Ninh Tâm sư thái	3	6	0								enemy175	0	0	0	0	0	19	24																																												400		700																						100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ khách cơ 	3	6	0								passerby001	0	0	0	0	0	45	28																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Khách cơ tiểu nhị Giáp	3	6	0								passerby002	0	0	0	0	0	30	38																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thợ rèn 1 	3	6	0								passerby004_1	0	0	0	0	0	26	24																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thợ rèn 2 	3	6	0								passerby004_2	0	0	0	0	0	26	24																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thợ rèn 3 	3	6	0								passerby004_3	0	0	0	0	0	26	24																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Học trò thợ rèn ất 1 	3	6	0								passerby006_1	0	0	0	0	0	22	20																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Học trò thợ rèn ất 2 	3	6	0								passerby006_2	0	0	0	0	0	22	20																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Học trò thợ rèn ất 3 	3	6	0								passerby006_3	0	0	0	0	0	22	20																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ dược điếm	3	6	0								passerby007	0	0	0	0	0	28	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Cô gái hái thuốc 	3	6	0								passerby008	0	0	0	0	0	24	38																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ tiệm vật nuôi 	3	6	0								passerby010	0	0	0	0	0	24	34																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bà chủ vật nuôi 1 	3	6	0								passerby011_1	0	0	0	0	0	22	44																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bà chủ vật nuôi 2 	3	6	0								passerby011_2	0	0	0	0	0	22	44																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bà chủ vật nuôi 3 	3	6	0								passerby011_3	0	0	0	0	0	22	44																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ sòng bạc	3	6	0								passerby013	0	0	0	0	0	26	26																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bảo kê Giáp 	3	6	0								passerby014	0	0	0	0	0	30	28																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bảo kê ất 	3	6	0								passerby015	0	0	0	0	0	30	28																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ tửu điếm Giáp 	3	6	0								passerby018	0	0	0	0	0	26	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ tửu điếm ất 	3	6	0								passerby019	0	0	0	0	0	26	27																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Tửu bảo Giáp 	3	6	0								passerby020	0	0	0	0	0	32	40																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ tạp hóa ất 	3	6	0								passerby023	0	0	0	0	0	34	36																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ tạp hóa Bính 	3	6	0								passerby024	0	0	0	0	0	26	40																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ tiệm cầm đồ	3	6	0								passerby025	0	0	0	0	0	26	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Cổ giá tiên sinh	3	6	0								passerby027	0	0	0	0	0	26	44																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thư ký 	3	6	0								passerby028	0	0	0	0	0	25	14																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Tú bà 	3	6	0								passerby029	0	0	0	0	0	26	33																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Kỹ nữ Giáp 	3	6	0								passerby030	0	0	0	0	0	28	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Kỹ nữ ất 	3	6	0								passerby031	0	0	0	0	0	26	36																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Kỹ nữ Bính 	3	6	0								passerby032	0	0	0	0	0	24	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ tiệm trà 	3	6	0								passerby033	0	0	0	0	0	25	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Trà sư 	3	6	0								passerby034	0	0	0	0	0	19	36																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ tiền trang 1 	3	6	0								passerby036_1	0	0	0	0	0	19	21																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ tiền trang 2 	3	6	0								passerby036_2	0	0	0	0	0	19	21																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Chủ tiền trang 3 	3	6	0								passerby036_3	0	0	0	0	0	19	21																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bán ngựa Giáp 1 	3	6	0								passerby037_1	0	0	0	0	0	38	40																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bán ngựa Giáp 2 	3	6	0								passerby037_2	0	0	0	0	0	38	40																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bán ngựa Giáp 3 	3	6	0								passerby037_3	0	0	0	0	0	38	40																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bán ngựa ất 1 	3	6	0								passerby038_1	0	0	0	0	0	40	40																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bán ngựa ất 2 	3	6	0								passerby038_2	0	0	0	0	0	40	40																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bán ngựa ất 3 	3	6	0								passerby038_3	0	0	0	0	0	40	40																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Xa phu ất 1 	3	6	0								passerby040_1	0	0	0	0	0	30	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Xa phu ất 2 	3	6	0								passerby040_2	0	0	0	0	0	30	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Xa phu ất 3 	3	6	0								passerby040_3	0	0	0	0	0	30	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Xa phu Bính 	3	6	0								passerby041	0	0	0	0	0	22	36																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Xa phu Đinh 	3	6	0								passerby042	0	0	0	0	0	26	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thuyền phu Giáp 	3	6	0								passerby043	0	0	0	0	0	26	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thuyền phu ất 	3	6	0								passerby044	0	0	0	0	0	32	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thuyền phu Bính 	3	6	0								passerby045	0	0	0	0	0	12	34																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Viên ngoại Giáp 	3	6	0								passerby047	0	0	0	0	0	30	34																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Viên ngoại ất 	3	6	0								passerby048	0	0	0	0	0	30	40																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Ông già Giáp 	3	6	0								passerby049	0	0	0	0	0	28	60																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Ông già ất 	3	6	0								passerby050	0	0	0	0	0	24	28																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bà già Giáp 	3	6	0								passerby051	0	0	0	0	0	30	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bà già ất 	3	6	0								passerby052	0	0	0	0	0	16	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Cung nữ ất 	3	6	0								passerby058	0	0	0	0	0	32	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thái giám Giáp 	3	6	0								passerby059	0	0	0	0	0	26	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thái giám ất 	3	6	0								passerby060	0	0	0	0	0	38	14																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Sữa đậu 1 	3	6	0								passerby061_1	0	0	0	0	0	32	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Sữa đậu 2 	3	6	0								passerby061_2	0	0	0	0	0	32	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Sữa đậu 3 	3	6	0								passerby061_3	0	0	0	0	0	32	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Vải lụa 1 	3	6	0								passerby062_1	0	0	0	0	0	38	42																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Vải lụa 2 	3	6	0								passerby062_2	0	0	0	0	0	38	42																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Vải lụa 3 	3	6	0								passerby062_3	0	0	0	0	0	38	42																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Dược 1 	3	6	0								passerby063_1	0	0	0	0	0	38	20																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Dược 2 	3	6	0								passerby063_2	0	0	0	0	0	38	20																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Dược 3 	3	6	0								passerby063_3	0	0	0	0	0	38	20																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thịt lừa 1 	3	6	0								passerby064_1	0	0	0	0	0	55	55																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thịt lừa 2 	3	6	0								passerby064_2	0	0	0	0	0	55	55																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thịt lừa 3 	3	6	0								passerby064_3	0	0	0	0	0	55	55																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bắp cải 1 	3	6	0								passerby065_1	0	0	0	0	0	22	35																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bắp cải 2 	3	6	0								passerby065_2	0	0	0	0	0	22	35																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Bắp cải 3 	3	6	0								passerby065_3	0	0	0	0	0	22	35																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Trà 1 	3	6	0								passerby066_1	0	0	0	0	0	38	34																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Trà 2 	3	6	0								passerby066_2	0	0	0	0	0	38	34																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Trà 3 	3	6	0								passerby066_3	0	0	0	0	0	38	34																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Gốm sứ 1 	3	6	0								passerby067_1	0	0	0	0	0	32	15																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Gốm sứ 2 	3	6	0								passerby067_2	0	0	0	0	0	32	15																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Gốm sứ 3 	3	6	0								passerby067_3	0	0	0	0	0	32	15																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Rau quả tươi 1 	3	6	0								passerby068_1	0	0	0	0	0	32	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Rau quả tươi 2 	3	6	0								passerby068_2	0	0	0	0	0	32	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Rau quả tươi 3 	3	6	0								passerby068_3	0	0	0	0	0	32	30																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đèn lồng 1 	3	6	0								passerby069_1	0	0	0	0	0	30	48																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đèn lồng 2 	3	6	0								passerby069_2	0	0	0	0	0	30	48																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Đèn lồng 3 	3	6	0								passerby069_3	0	0	0	0	0	30	48																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Nông phẩm 1 	3	6	0								passerby070_1	0	0	0	0	0	30	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Nông phẩm 2 	3	6	0								passerby070_2	0	0	0	0	0	30	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Nông phẩm 3 	3	6	0								passerby070_3	0	0	0	0	0	30	32																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Dưa hấu 1 	3	6	0								passerby071_1	0	0	0	0	0	18	36																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Dưa hấu 2 	3	6	0								passerby071_2	0	0	0	0	0	18	36																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Dưa hấu 3 	3	6	0								passerby071_3	0	0	0	0	0	18	36																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thầy bói 1 	3	6	0								passerby072_1	0	0	0	0	0	34	45																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
Thầy bói 2 	3	6	0								passerby072_2	0	0	0	0	0	34	45																																												400		700													0|0									100		36	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0		0|0		0|0		
